ID	NA-
ACTR8	5.9237
ACTRT1	375.833
ACTRT2	0.0812
ACTRT3	135.1984
ACVR1	0.5234
ACVR1B	32.1688
ACVR1C	7.1517
ACVR2A	2.8509
ACVR2B	5.2161
ACVRL1	0.6867
ACY1	0
ACY3	2.055
ACYP1	8.1323
ACYP2	3.432
AD000671.1	0.3363
AD000671.2	0
ADA	107.9841
ADA2	10.7017
ADAD1	0
ADAD2	39.6356
ADAL	5.7822
ADAM10	2.3631
ADAM11	2.5131
ADAM12	69.0315
ADAM15	43.7104
ADAM17	64.8409
ADAM18	0.0359
ADAM19	74.1516
ADAM2	56.6378
ADAM20	4.7164
ADAM21	1.4492
ADAM22	2.0473
ADAM23	8.9087
ADAM28	282.6645
ADAM29	22.0534
ADAM30	19.4457
ADAM32	0
ADAM33	127.3008
ADAM7	0
ADAM8	0
ADAM9	60.462
ADAMDEC1	0.0764
ADAMTS1	45.8975
ADAMTS10	4.0537
ADAMTS12	0
ADAMTS13	13.1267
ADAMTS14	12.5392
ADAMTS15	0.1042
ADAMTS16	602.9214
ADAMTS17	1.2574
ADAMTS18	12.1551
ADAMTS19	10.2845
ADAMTS2	136.7412
ADAMTS20	58.9491
ADAMTS3	5.0283
ADAMTS4	6.5982
ADAMTS5	3.735
ADAMTS6	18.6677
ADAMTS7	4.4036
ADAMTS8	10.6666
ADAMTS9	85.2345
ADAMTSL1	1.6621
ADAMTSL2	0
ADAMTSL3	30.5724
ADAMTSL4	61.0114
ADAMTSL5	24.5637
ADAP1	19.2816
ADAP2	1.3706
ADAR	71.3687
ADARB1	7.2503
ADARB2	60.6327
ADAT1	7.1619
ADAT2	2.292
ADAT3	1.6874
ADCK1	0.0542
ADCK2	2.3235
ADCK5	327.9344
ADCY1	816.2619
ADCY10	0.1131
ADCY2	5.0431
ADCY3	29.4689
ADCY4	0.5623
ADCY5	2.2993
ADCY6	1.2043
ADCY7	0.1885
ADCY8	114.334
ADCY9	16.0919
ADCYAP1	40.0569
ADCYAP1R1	2.4411
ADD1	0.8804
ADD2	0.5313
ADD3	1.4318
ADGB	9.8545
ADGRA1	64.5415
ADGRA2	4581.4775
ADGRA3	0.7143
ADGRB1	0
ADGRB2	17.8423
ADGRB3	0.5854
ADGRD1	28.9584
ADGRD2	0.0781
ADGRE1	6.3992
ADGRE2	26.9656
ADGRE3	0
ADGRE5	134.0168
ADGRF1	0.1785
ADGRF2	0.034
ADGRF3	3.4436
ADGRF4	11.6309
ADGRF5	0
ADGRG1	0
ADGRG2	0.3092
ADGRG3	1.3134
ADGRG4	0.8703
ADGRG5	4.092
ADGRG6	585.0837
ADGRG7	0.5356
ADGRL1	29.3297
ADGRL2	21.3887
ADGRL3	3.8461
ADGRL4	35.6602
ADGRV1	5.3019
ADH1A	20.9732
ADH1B	0
ADH1C	0
ADH4	15.0966
ADH5	0.9239
ADH6	31.814
ADH7	2.1657
ADHFE1	25.1517
ADI1	26.9093
ADIG	3.8674
ADIPOQ	0.0257
ADIPOR1	50.2698
ADIPOR2	0.4409
ADIRF	11.167
